Id,Code,Name,Position,Address,PostalCode,StreetId,Phone,LabType,HasMonitor,Host,Port,Status
1,S-310112-82,七宝镇市场,POINT(121.360557 31.159023),七宝镇市场地址,200009,82,021-12345679,2,0,,,1
2,K-310101-3,南京东路街道快检室,POINT(121.494347 31.244358),南京东路街道快检室地址,200001,3,021-12345671,1,0,,,1
3,K-310101-6,老西门街道快检室,POINT(121.491691 31.221748),老西门街道快检室地址,200001,6,021-12345671,1,0,,,1
4,K-310104-15,徐家汇街道快检室,POINT(121.452192 31.197681),徐家汇街道快检室地址,200002,15,021-12345672,1,0,,,1
5,K-310104-19,康健新村街道快检室,POINT(121.429338 31.162097),康健新村街道快检室地址,200002,19,021-12345672,1,0,,,1
6,K-310105-26,新华市场监督管理所,POINT(121.437721 31.210706),幸福路50号,200050,26,13818493683,1,0,210.14.76.247,8000,1
7,K-310105-30,虹桥市场监督管理所,POINT(121.421217 31.206149),安顺路251A1幢4楼,200050,30,13482798006,1,0,210.14.76.247,8000,1
8,K-310106-36,静安寺街道快检室,POINT(121.449977 31.231089),静安寺街道快检室地址,200004,36,021-12345674,1,0,,,1
9,K-310106-37,南京西路街道快检室,POINT(121.466766 31.236138),南京西路街道快检室地址,200004,37,021-12345674,1,0,,,1
10,K-310107-41,曹杨新村街道快检室,POINT(121.416775 31.247978),曹杨新村街道快检室地址,200005,41,021-12345675,1,0,,,1
11,K-310107-46,真如镇快检室,POINT(121.407645 31.262803),真如镇快检室地址,200005,46,021-12345675,1,0,,,1
12,K-310108-53,共和新路街道快检室,POINT(121.468499 31.279548),共和新路街道快检室地址,200006,53,021-12345676,1,0,,,1
13,K-310108-55,彭浦新村街道快检室,POINT(121.451442 31.319266),彭浦新村街道快检室地址,200006,55,021-12345676,1,0,,,1
14,K-310109-59,提篮桥街道快检室,POINT(121.505871 31.257471),提篮桥街道快检室地址,200007,59,021-12345677,1,0,,,1
15,K-310109-64,曲阳路街道快检室,POINT(121.502472 31.293998),曲阳路街道快检室地址,200007,64,021-12345677,1,0,,,1
16,K-310110-68,平凉路街道快检室,POINT(121.545182 31.271045),平凉路街道快检室地址,200008,68,021-12345678,1,0,,,1
17,K-310110-74,五角场街道快检室,POINT(121.526334 31.310798),五角场街道快检室地址,200008,74,021-12345678,1,0,,,1
18,K-310112-83,浦江镇快检室,POINT(121.523285 31.081473),浦江镇快检室地址,200009,83,021-12345679,1,0,,,1
19,K-310112-84,片江食品公司,POINT(121.443081 31.0897),虹梅南路3509弄8号,201108,84,021-33505071,1,0,,,1
20,K-310112-85,虹桥镇快检室,POINT(121.389553 31.175029),闵行区合川路2885号,201103,85,021-54221278,1,0,,,1
21,K-310113-98,杨行镇快检室,POINT(121.444571 31.370616),杨行镇快检室地址,2000010,98,021-123456710,1,0,,,1
22,K-310114-106,南翔镇快检室,POINT(121.326808 31.300285),南翔镇快检室地址,2000011,106,021-123456711,1,0,,,1
23,K-310115-138,周浦镇快检室,POINT(121.581473 31.120596),周浦镇快检室地址,2000012,138,021-123456712,1,0,,,1
24,K-310116-149,枫泾镇快检室,POINT(121.02211 30.889745),枫泾镇快检室地址,2000013,149,021-123456713,1,0,,,1
25,K-310117-162,九亭镇快检室,POINT(121.335645 31.138401),九亭镇快检室地址,2000014,162,021-123456714,1,0,,,1
26,K-310118-177,徐泾镇快检室,POINT(121.279285 31.178358),徐泾镇快检室地址,2000015,177,021-123456715,1,0,,,1
27,K-310120-184,南桥镇快检室,POINT(121.465476 30.909105),南桥镇快检室地址,2000016,184,021-123456716,1,0,,,1
28,K-310230-207,长兴镇快检室,POINT(121.70025 31.395694),长兴镇快检室地址,2000017,207,021-123456717,1,0,,,1
29,K-310104-21,云赛检测站,POINT(121.415781 31.175214),田林路168号,200233,21,021-12345672,1,1,210.14.76.247,8000,1
31,S-310112-82-2,七宝蔬菜农副产品综合交易市场,POINT(121.327606 31.167103),涞亭北路888号,201101,82,4008031998,2,0,210.14.76.247,8000,1
32,S-310112-88,上海全福快餐服务有限公司,POINT(121.340157 31.229314),北翟路1999号2幢底层,201106,88,021-62098552,2,0,210.14.76.247,8000,1
33,S-310112-81,上海星心餐饮有限公司,POINT(121.389114 31.105188),沪闵路5588号15幢,201199,81,021-64920585,2,0,210.14.76.247,8000,1
34,S-310112-89,上海峰超营养餐食品有限公司,POINT(121.432457 31.088498),沪光东路128号3幢1层,201108,89,021-64971285,2,0,210.14.76.247,8000,1
35,S-310112-84,新欧坊餐饮（上海）有限公司,POINT(121.436089 31.075179),闵行区莲花南路2399号梅莲工业区1号乙,200000,84,34625093,2,0,210.14.76.247,8000,1
36,S-310112-81-2,上海安友营养食品有限公司,POINT(121.430965 31.11616),闵行区春申路1895弄96号,200000,81,54282331,2,0,210.14.76.247,8000,1
37,S-310112-88-2,上海远东食品有限公司,POINT(121.277827 31.232178),闵行区纪宏路157号,200000,88,15021958396,2,0,210.14.76.247,8000,1
38,S-310112-84-2,上海诺新餐饮有限公司,POINT(121.433508 31.087442),闵行区沪光东路158号3幢,200000,84,54959779 ,2,0,210.14.76.247,8000,1
39,S-310112-84-3,上海星鼎餐饮有限公司,POINT(121.432383 31.088564),闵行区梅陇镇沪光东路128号3号楼2楼,200000,84,52273577,2,0,210.14.76.247,8000,1
40,S-310112-89-2,上海绿捷快餐有限公司,POINT(121.427345 31.081953),闵行区颛兴东路1158号,200000,89,33587888,2,0,210.14.76.247,8000,1
41,S-310112-84-4,上海新馥餐饮管理有限公司,POINT(121.443062 31.089638),闵行区梅陇镇虹梅南路3509弄88号第一幢111室,200000,84,13641927450,2,0,210.14.76.247,8000,1
42,S-310112-78,上海拾慧工贸有限公司分公司,POINT(121.380514 31.003512),闵行区江川路街道昆阳路518号二至四层,200000,78,54721382,2,0,210.14.76.247,8000,1
43,S-310112-89-3,上海博豪餐饮有限公司,POINT(121.404087 31.043278),闵行区颛桥镇北松公路658号4栋,200000,89,13817828737,2,0,210.14.76.247,8000,1
44,S-310112-82-3,广禾堂草本生物科技(上海)有限公司,POINT(121.34954 31.150414),中春路7599号第一幢一、二层,200000,82,54858614,2,0,210.14.76.247,8000,1
45,S-310112-88-3,上海雪燕餐饮管理有限公司,POINT(121.270929 31.247192),闵行区华漕镇周泾路58号,200000,88,13524936632,2,0,210.14.76.247,8000,1
46,S-310112-86,上海市闵行区顺波快餐服务社,POINT(121.390114 31.038385),闵行区马桥镇北松路1266号,200000,86,13801834239,2,0,210.14.76.247,8000,1
47,S-310112-84-5,上海鹏远餐饮有限公司,POINT(121.451498 31.10036),闵行区梅陇镇金都路38号,200000,84,64346805,2,0,210.14.76.247,8000,1
48,S-310112-84-6,上海护苗营养餐饮有限公司,POINT(121.458351 31.107024),闵行区景联路189号1号楼,200000,84,15800722018,2,0,210.14.76.247,8000,1
49,S-310112-82-4,上海和记餐饮有限公司,POINT(121.364683 31.161194),闵行区七宝镇新镇路1225号1-3楼,200000,82,13601904047,2,0,210.14.76.247,8000,1
50,S-310112-85,上海避风塘食品有限公司,POINT(121.423354 31.1348),闵行区虹中路735号,200000,85,13817073364,2,0,210.14.76.247,8000,1
51,S-310112-82-5,贝拉吉奥（上海）餐饮管理有限公司,POINT(121.331188 31.164485),闵行区七宝镇涞亭路888号B幢2号,200000,82,13818351470,2,0,210.14.76.247,8000,1
52,S-310112-84-7,上海杼仪餐饮有限公司,POINT(121.421522 31.126779),闵行区莘朱路1258号乙3幢底层,200000,84,13761915948,2,0,210.14.76.247,8000,1
53,S-310112-84-8,上海盘古食品有限公司,POINT(121.431996 31.089746),闵行区沪光东路89号15幢,200000,84,18821202068,2,0,210.14.76.247,8000,1
